Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
<space>,t_<space>,0.13535165786743164,0.03526186943054199,0.06307077407836914,1,87.63
c,<space>_c,0.09792590141296387,0.160996675491333,0.0911095142364502,0,87.63
o,c_o,0.1790478229522705,0.08112192153930664,0.04310774803161621,1,87.63
r,o_r,0.07556438446044922,0.11867213249206543,0.058129072189331055,0,87.63
r,r_r,0.0789337158203125,0.13706278800964355,0.08352494239807129,0,87.63
e,r_e,0.05415511131286621,0.1376800537109375,0.06390023231506348,0,87.63
c,e_c,0.0992591381072998,0.16315937042236328,0.08639931678771973,0,87.63
t,c_t,0.09841346740722656,0.1848127841949463,0.08398079872131348,0,87.63
l,t_l,0.16437959671020508,0.06596612930297852,0.07143282890319824,1,87.63
y,l_y,0.07035231590270996,0.1417851448059082,0.06260991096496582,0,87.63
<space>,y_<space>,0.004922389984130859,0.06753230094909668,0.06843996047973633,0,87.63
m,<space>_m,0.0877995491027832,0.15623950958251953,0.05919194221496582,0,87.63
y,m_y,0.14940381050109863,0.20859575271606445,0.06635785102844238,0,87.63
<space>,y_<space>,0.48116421699523926,0.5475220680236816,0.08822107315063477,0,87.63
b,<space>_b,0.17418527603149414,0.2624063491821289,0.07109761238098145,0,87.63
e,b_e,0.02059149742126465,0.0916891098022461,0.06879091262817383,0,87.63
r,e_r,0.02658700942993164,0.005995512008666992,0.06788229942321777,1,87.63
o,r_o,0.036666154861450195,0.10454845428466797,0.04976820945739746,0,87.63
t,o_t,0.022225379943847656,0.07199358940124512,0.07144999504089355,0,87.63
h,t_h,0.019846439361572266,0.09129643440246582,0.03216290473937988,0,87.63
e,h_e,0.04953312873840332,0.0816960334777832,0.058809518814086914,0,87.63
r,e_r,0.08726763725280762,0.14607715606689453,0.06034660339355469,0,87.63
<shift_r>,r_<shift_r>,0.04479789733886719,0.10514450073242188,0.14700961112976074,0,87.63
h,START,0.0,0.0,0.0013091564178466797,1,98.32
